provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,SVM (RBF),42,40,random,euclidean,0.9818181818181818,0.9630500503862949,0.9817754154447703,0.9545454545454546,0.9466666666666667,110
classical,k-NN (k=3),123,5,easy,aniso_x2,0.9041095890410958,0.807060600339815,0.9038921915478961,0.8904109589041096,0.8666666666666667,146
classical,Logistic Regression,123,5,easy,aniso_x2,0.9383561643835616,0.8764340793680647,0.938376454356257,0.910958904109589,0.8666666666666667,146
classical,SVM (RBF),123,5,easy,aniso_x2,0.9383561643835616,0.8764340793680647,0.938376454356257,0.910958904109589,0.8666666666666667,146
classical,k-NN (k=3),123,5,hard,aniso_x2,0.7808219178082192,0.5589956579195772,0.7803250092523337,0.8287671232876712,0.8666666666666667,146
classical,Logistic Regression,123,5,hard,aniso_x2,0.7191780821917808,0.44295551833240276,0.7177916007242554,0.8082191780821918,0.8666666666666667,146
classical,SVM (RBF),123,5,hard,aniso_x2,0.6438356164383562,0.3053979871912169,0.6239479108515481,0.7328767123287672,0.8666666666666667,146
classical,k-NN (k=3),123,5,mixed,aniso_x2,0.9041095890410958,0.807060600339815,0.9038921915478961,0.8972602739726028,0.8666666666666667,146
classical,Logistic Regression,123,5,mixed,aniso_x2,0.8082191780821918,0.6111850865512649,0.8053837089409339,0.8561643835616438,0.8666666666666667,146
classical,SVM (RBF),123,5,mixed,aniso_x2,0.8082191780821918,0.6111850865512649,0.8053837089409339,0.8561643835616438,0.8666666666666667,146
classical,k-NN (k=3),123,5,random,aniso_x2,0.9041095890410958,0.807060600339815,0.9038921915478961,0.8972602739726028,0.8666666666666667,146
classical,Logistic Regression,123,5,random,aniso_x2,0.9452054794520548,0.8904109589041096,0.9452466396552833,0.910958904109589,0.8666666666666667,146
classical,SVM (RBF),123,5,random,aniso_x2,0.9246575342465754,0.8498784819592448,0.9246257218050186,0.9178082191780822,0.8666666666666667,146
